"S#","Title","Location","State","Date","Incident Area","Open/Close Location","Target","Cause","Summary","Fatalities","Injured","Total victims","Policeman Killed","Age","Employeed (Y/N)","Employed at","Mental Health Issues","Race","Gender","Latitude","Longitude"
"13","Dallas police shooting","Dallas, Texas","Texas","7/7/16","at protest","Open","police","racism","Micah Xavier Johnson, a 25-year-old Army veteran, targeted police at a peaceful Black Lives Matter protest, killing five officers and injuring nine others as well as two civilians. After a prolonged standoff in a downtown building, law enforcement killed Johnson using a robot-delivered bomb.","5","11","16","5","25","","Army veteran","Unclear","Black","M","",""
"32","Louisville, KY Family Murder-Suicide","Louisville, Kentucky","Kentucky","3/20/2016","Home","Close","Family","domestic dispute","A former soldier who fatally shot his wife and two children and set their house on fire before killing himself suffered from post-traumatic stress disorder following a military career that included a stint in Iraq.","4","0","3","0","","1","Military","Yes","White American or European American","Male","38.252665","-85.758456"
"51","Belfair, Washington","Belfair, Washington","Washington","2/26/2016","Home","Close","Family","domestic dispute","At around 9am on Friday morning, a man phoned an officer with the Mason County Sheriff's Office to say that he had shot his family and was going to kill himself next. The man was flushed out of his house when the SWAT team fired tear gas inside. He walked outside and shot himself in front of the officers who were gathered in front of the property. The shooter killed his wife, her two teenage sons and a neighbor.","5","0","4","0","","","","Unknown","White American or European American","Male","47.5033","-122.931"
"87","Jacksonville, Florida","Jacksonville, Florida","Florida","11/13/2015","Home","Close","Family","domestic dispute","On Friday of November 13, 2015,The former military member walked into his Northside, Florida, home and shot his girlfriend, their twin babies, and girlfriend's father before shooting himself. The shooter had a history of domestic violence.","4","1","4","0","","","former military","Unknown","Black American or African American","Male","30.33216122","-81.67576993"
"104","Amnicola Training Center, Chattanooga","Chattanooga, Tennessee","Tennessee","7/16/2015","military facilities","Open","Marines","terrorism","Four Marines were shot dead Thursday after a gunman brazenly opened fire on two  military facilities in Chattanooga, Tennessee. The shooter was also killed and three people including a police officer were injured.","5","3","7","0","","","","Yes","White American or European American","Male","35.09318123","-85.23676751"
"134","Clarkesville","Clarkesville, Georgia","Georgia","2/22/2015","Home","Close","Ex-Wife","","On February 22, 2015, A former police officer fatally shot his ex-wife and her friend, then wounded a local sheriff and a deputy at his ex-wife's home on Sunday before he was killed by the return fire from law enforcement.","3","2","4","0","","","","No","White American or European American","Male","34.61025711","-83.52918091"
"157","Fort Hood shooting 2","Fort Hood, Texas","Texas","4/3/14","Fort Hood Army Post","Open","Policeman","psycho","Army Specialist Ivan Lopez, 34, opened fire at the Fort Hood Army Post in Texas, killing three and wounding at least 12 others before shooting himself in the head after engaging with military police. Lt. Gen. Mark A. Milley told reporters that Lopez ""had behavioral health and mental health"" issues.","3","12","15","3","34","1","Fort Hood","Unclear","Latino","M","",""
"158","Fort Hood","Killeen, Texas","Texas","4/2/14","Fort Hood Army Post","Open","Policeman","psycho","On April 2, 2014, a 34-year-old Army Specialist began shooting at Fort Hood where he was stationed. He killed 3 military personnel and wounded 16 others before committing suicide.","4","16","19","3","34","1","Fort Hood","Yes","Some other race","Male","31.07925506","-97.73392317"
"164","Washington Navy Yard","Washington D.C.","Washington","9/16/2013","","Close","random","terrorism","On September 16, 2013, a 34-yearl old contractor for the Navy Yard in Washington D.C, entered the building shooting randomly, killing twelve people and injuring three surviving victims before he was shot and killed by law enforcement officers.  Five other people were injured during the incident while trying to escape.","13","3","15","0","34","1","Navy Yard","Yes","Black American or African American","Male","38.90480894","-77.01629717"
"182","Sikh Temple in Wisconsin","Oak Creek, Wisconsin","Wisconsin","8/5/12","Sikh Temple","Close","Sikhs","racism","On August 5, 2012, a 40-year old US Army veteran and white supremacist opened fire in a Sikh Temple in Oak Creek, Wisconsin fatally shooting six people and wounded four others. The shooter took his life by shooting himself after he was shot in the stomach by a responding police officer. His girlfriend had broken up with him very recently.","7","4","10","0","40","1","Army veteran","No","White American or European American","Male","42.88027442","-87.90087079"
