S#,Title,Location,State,Date,Incident Area,Open/Close Location,Target,Cause,Summary,Fatalities,Injured,Total victims,Policeman Killed,Age,Employeed (Y/N),Employed at,Mental Health Issues,Race,Gender,Latitude,Longitude
1,Texas church mass shooting,"Sutherland Springs, TX",Texas,11/5/17,Church,Close,random,unknown,"Devin Patrick Kelley, 26, an ex-air force officer, shot and killed 26 people and wounded 20 at a church in Texas. He was found dead later in his vehicle.",26,20,46,0,26,,,No,White,M,,
2,Walmart shooting in suburban Denver,"Thornton, CO",Colorado,11/1/17,Wal-Mart,Open,random,unknown,"Scott Allen Ostrem, 47, walked into a Walmart in a suburb north of Denver and fatally shot two men and a woman, then left the store and drove away. After an all-night manhunt, Ostrem, who had financial problems but no serious criminal history, was captured by police after being spotted near his apartment in Denver.",3,0,3,0,47,,,No,White,M,,
3,Edgewood businees park shooting,"Edgewood, MD",Maryland,10/18/2017,Remodeling Store,Close,coworkers,unknown,"Radee Labeeb Prince, 37, fatally shot three people and wounded two others around 9am at Advance Granite Solutions, a home remodeling business where he worked near Baltimore. Hours later he shot and wounded a sixth person at a car dealership in Wilmington, Delaware. He was apprehended that evening following a manhunt by authorities.",3,3,6,0,37,,Advance Granite Store,No,Black,M,,
4,Las Vegas Strip mass shooting,"Las Vegas, NV",Nevada,10/1/17,Las Vegas Strip Concert outside Mandala Bay,Open,random,unknown,"Stephen Craig Paddock, opened fire from the 32nd floor of Manadalay Bay hotel at Last Vegas concert goers for no obvious reason. He shot himself and died on arrival of law enforcement agents. He was 64",59,527,585,1,64,,,Unclear,White,M,36.181271,-115.134132
5,San Francisco UPS shooting,"San Francisco, CA",California,6/14/2017,UPS facility,Close,coworkers,,"Jimmy Lam, 38, fatally shot three coworkers and wounded two others inside a UPS facility in San Francisco. Lam killed himself as law enforcement officers responded to the scene.",3,2,5,0,38,1,,Yes,Asian,M,,
6,Pennsylvania supermarket shooting,"Tunkhannock, PA",Pennsylvania,6/7/17,Weis grocery,Close,coworkers,terrorism,"Randy Stair, a 24-year-old worker at Weis grocery fatally shot three of his fellow employees. He reportedly fired 59 rounds with a pair of shotguns before turning the gun on himself as another co-worker fled the scene for help and law enforcement responded.",3,0,3,,24,1,Weis grocery,Unclear,White,M,,
7,Florida awning manufacturer shooting,"Orlando, Florida",Florida,6/5/17,manufacturer Fiamma Inc.,Close,coworkers,unemployement,"John Robert Neumann, Jr., 45, a former employee of manufacturer Fiamma Inc. fatally shot five workers at the company, and then killed himself on the scene. He'd been fired from the company in April. The attack took place a week before the one-year anniversary of the Orlando nightclub massacre.",5,0,5,,45,1,manufacturer Fiamma Inc.,Unclear,,M,,
8,Rural Ohio nursing home shooting,"Kirkersville, Ohio",Ohio,5/12/17,a nursing home,Close,coworkers,,"Thomas Hartless, 43, shot and killed a former girlfriend and another employee of a nursing home, and then fatally shot the Kirkersville police chief responding to the scene. Hartless' former girlfriend had recently obtained a court protection order against Hartless. Investigators later found more than 60 firearms in the home of Hartless, who was also found dead at the scene of the attack.",3,0,3,1,43,1,some nursing home,Yes,White,M,,
9,Fresno downtown shooting,"Fresno, California",California,4/18/2017,a street in downtown,Open,random,racism,"Kori Ali Muhammad, 39, opened fire along a street in downtown Fresno, killing three people randomly in an alleged hate crime prior to being apprehended by police. Muhammad, who is black, killed three white victims and later described his attack as being racially motivated; he also reportedly yelled 'Allahu Akbar' at the time he was arrested, but authorities indicated they found no links to Islamist terrorism.",3,0,3,,39,,,Unclear,Black,M,,
10,Fort Lauderdale airport shooting,"Fort Lauderdale, Florida",Florida,1/6/17,baggage claim area of the airport,Close,random,terrorism,"Esteban Santiago, 26, flew from Alaska to Fort Lauderdale, where he opened fire in the baggage claim area of the airport, killing five and wounding six before police aprehended him.",5,6,11,,26,,,Yes,Latino,M,,
11,Cascade Mall shooting,"Burlington, WA",Washington,9/23/2016,cosmetics section of a Macy’s department store,Close,women,terrorism,"Arcan Cetin, 20, killed a teen girl and three women in the cosmetics section of a Macy’s department store at the Cascade Mall. A man was critically wounded in the shooting and taken to Harborview Medical Center in Seattle, where he died. Cetin was apprehended by police a few hours after the shooting while driving a car near his residence.",5,0,5,,20,,,Yes,,M,,
13,Dallas police shooting,"Dallas, Texas",Texas,7/7/16,at protest,Open,police,racism,"Micah Xavier Johnson, a 25-year-old Army veteran, targeted police at a peaceful Black Lives Matter protest, killing five officers and injuring nine others as well as two civilians. After a prolonged standoff in a downtown building, law enforcement killed Johnson using a robot-delivered bomb.",5,11,16,5,25,,Army veteran,Unclear,Black,M,,
14,Orlando nightclub massacre,"Orlando, Florida",Florida,6/12/16,at nightclub,Close,random,,"Omar Mateen, 29, attacked the Pulse nighclub in Orlando in the early morning hours of June 12. He was killed by law enforcement who raided the club after a prolonged standoff.",49,53,102,0,29,,,Unclear,Other,M,,
15,"Ferguson, MO Drive by","Ferguson, Missouri",Missouri,4/29/2016,,Open,random,,A group of 15 to 20 people was gathered for a memorial for a family member when two cars drove by and opened fire. Four people were injured. No suspects or specific motive or targets.,0,4,4,0,0,,,Unknown,Unknown,Unknown,38.744217,-90.305391
71,"Caroline County, VA Family Murder Suicide",,Virgina,1/29/2016,,,Family,psycho,"42-year-old husband murders wife, shoots two young family members, then shoots himself in the head.",2,2,3,0,42,,,Unknown,Unknown,Male,38.044556,-77.286488
68,Texas teen commits family murder suicide,,Texas,2/6/16,,Close,Family/Neighbors,psycho,19-year-old male kills his mother and two neighbors before killing himself. Motive is unclear.,4,0,3,0,19,,,Unknown,White American or European American,Male,29.209684,-99.786168
83,Planned Parenthood clinic,"Colorado Springs, Colorado",Colorado,11/27/2015,health clinic,Close,random,,"police were called to a street to investigate an assault case. One hispanic man lay dead on the street. Two other adult males, and a young female were injured.",3,9,12,1,57,,,Unclear,White,M,,
94,"Inglis, Florida","Inglis, Florida",Florida,10/1/15,,Open,Ex-Wife,anger,"A man 57-year-old man shot and killed his wife, injured her boyfriend, and killed a Good Samaritan 68-year-old man as he rushed to protect children who were playing near the town hall before taking his life. The shooter's couple had been married for 35 years when they separated, and the shooter's wife had left her husband for her new boyfriend.",3,1,3,0,57,,,Unknown,White American or European American,Male,29.03270634,-82.65919302
107,Charleston Church Shooting,"Charleston, South Carolina",South Carolina,6/17/2015,Church,Close,random,terrorism,"Dylann Storm Roof, 21, shot and killed 9 people after opening fire at the Emanuel AME Church in Charleston, South Carolina. According to a roommate, he had allegedly been “planning something like that for six months.""",9,1,10,0,21,,,unknown,White,Male,32.788387,-79.933143
109,Trestle Trail bridge shooting,"Menasha, Wisconsin",Wisconsin,6/11/15,,,random,,"Sergio Valencia del Toro, 27, in what officials say was a random act, shot and killed three people including an 11-year-old girl before turning the gun on himself.",3,1,4,0,27,,,Yes,Latino,M,,
155,Isla Vista mass murder,"Santa Barbara, California",California,5/23/2014,,Open+Close,random,psycho,"Elliot Rodger, 22, shot three people to death in the college town of Isla Vista near the University of California, Santa Barbara. He also shot others as he drove around town, and injured others by striking them with is vehicle. He committed suicide by shooting himself in his car as police closed in. Prior to the rampage, Rodger stabbed three people to death at his apartment.",6,13,19,0,22,,,Yes,White,M,,
156,Kennesaw FedEx,"Kennesaw, Georgia",Georgia,4/29/2014,Workplace,Close,Coworkers,terrorism,"On the morning of April 29, 2014, a 19 year-old package handler at the FedEx in Kennesaw, Georgia arrived at his place of work and began shooting. He wounded six of his coworkers before committing suicide.",1,6,6,0,19,1,FedEx,No,White American or European American,Male,34.02529674,-84.61766831
157,Fort Hood shooting 2,"Fort Hood, Texas",Texas,4/3/14,Fort Hood Army Post,Open,Policeman,psycho,"Army Specialist Ivan Lopez, 34, opened fire at the Fort Hood Army Post in Texas, killing three and wounding at least 12 others before shooting himself in the head after engaging with military police. Lt. Gen. Mark A. Milley told reporters that Lopez ""had behavioral health and mental health"" issues.",3,12,15,3,34,1,Fort Hood,Unclear,Latino,M,,
158,Fort Hood,"Killeen, Texas",Texas,4/2/14,Fort Hood Army Post,Open,Policeman,psycho,"On April 2, 2014, a 34-year-old Army Specialist began shooting at Fort Hood where he was stationed. He killed 3 military personnel and wounded 16 others before committing suicide.",4,16,19,3,34,1,Fort Hood,Yes,Some other race,Male,31.07925506,-97.73392317
160,Cedarville Rancheria Tribe,"Alturas, California",California,2/20/2014,,,Family+random,psycho,"On February 20, 2014, a 44-year old woman went to a tribe eviction meeting where she killed three family members and a worker. After running out of ammunition, the shooter grabbed a butcher knife and stabbed another person.",4,2,6,0,44,,,No,Native American or Alaska Native,Female,41.4911123,-120.549091
154,Seattle Pacific University,"Seattle, Washington",Washington,6/5/14,Seattle Pacific University,Close,Students,terrorism,"On June 5, 2014, a 26-year-old man entered a hall on the campus of Seattle Pacific University and began shooting at students. The shooter killed one student and injured two others before a student tackled and stopped the shooter as he was reloading.",1,2,3,0,26,,,Yes,Some other race,Male,47.62199575,-122.323646
162,Los Angeles International Airport (LAX),"Los Angeles, California",California,11/1/13,Los Angeles International Airport,Open,TSA Officer,anger,"On November 1, 2013, an unemployed 23-year old man entered Terminal 3 at Los Angeles International Airport (LAX) in California, and pulled a rifle from his bag, killing one TSA officer and wounding two other officers and a passenger before he was wounded and captured. Witnesses said that the shooter was calmly asking people: ""Hey, are you TSA?"". If they said no, the shooter moved on.",1,3,4,1,23,0,,No,White American or European American,Male,34.17622092,-118.5399542
163,Sparks Middle School,"Sparks, Nevada",Nevada,10/21/2013,Sparks Middle School in Nevada,Close,random,psycho,"On October 21, 2013, a 12-year old student at Sparks Middle School in Nevada, shot and injured two students and killed a teacher before killing himself.",2,2,3,0,12,,,Unknown,Some other race,Male,39.54058388,-119.748291
